Planet,Date,OrbitalRadius(AU),Rotation,Mass(kgE24),AngularVelocity(rad/day)
Sun,2022-03-20,0.0,0,1989000,0
Mercury,2022-03-20,0.3870320855614973,2.37542,0.330,0.07139983303613166
Venus,2022-03-20,0.7232620320855615,3.97823,4.87,-0.027962551433821033
Earth,2022-03-20,1.0,-1.55066,5.97,0.017202423838958484
Moon,2022-03-20,0.0025668449197860962,4.68886,0.073,0.21298933244676563
Mars,2022-03-20,1.5240641711229947,2.98894,0.642,0.009145830141455001
Jupiter,2022-03-20,5.203877005347594,1.81687,1898,0.0014507470115861431
Saturn,2022-03-20,9.572192513368984,2.32059,568,0.0005846455110430433
Uranus,2022-03-20,19.164438502673796,0.799751,86.8,-0.0002054066921827973
Neptune,2022-03-20,30.180481283422463,1.69739,102,0.00010506998841437435
